a: 7286422 b: 8681694 c: 0 d: 4719812
e: 1395272 f: 8681694 g: 4719812 h: 2566610
e: 7286422 f: 3961882 g: 2153202 h: 1171338
e: 3324540 f: 1808680 g: 981864 h: 6115084
e: 1515860 f: 826816 g: 5133220 h: 2790544
e: 689044 f: 4306404 g: 2342676 h: 1274684
e: 3617360 f: 1963728 g: 1067992 h: 585640
e: 1653632 f: 895736 g: 482352 h: 3031720
e: 757896 f: 413384 g: 2549368 h: 1378088
e: 344512 f: 2135984 g: 1171280 h: 620192
e: 1791472 f: 964704 g: 551088 h: 275680
e: 826768 f: 413616 g: 275408 h: 1515792
e: 413152 f: 138208 g: 1240384 h: 689024
e: 274944 f: 1102176 g: 551360 h: 275872
e: 827232 f: 550816 g: 275488 h: 928
e: 276416 f: 275328 g: 274560 h: 826304
e: 1088 f: 768 g: 551744 h: 549888
e: 320 f: 550976 g: 1856 h: 548800
e: 550656 f: 549120 g: 546944 h: 548480
e: 1536 f: 2176 g: 1536 h: 2176
e: 640 f: 640 g: 640 h: 640
e: 0 f: 0 g: 0 h: 0
22
